title,author
The Wake-Up Call,Beth O'Leary
We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu
Hate,Tate James
"Voices from the Pandemic: Americans Tell Their Stories of Crisis, Courage and Resilience",Eli Saslow
Hell of a Book,Jason Mott
Bombshell,Sarah MacLean
Sparring Partners,John Grisham
Lucy by the Sea,Elizabeth Strout
Every Summer After,Carley Fortune
Once Upon an Eid,S.K. Ali
The Empire of Dreams,Rae Carson
A Good Marriage,Kimberly McCreight
The Book of V.,Anna Solomon
Where the Line Breaks,Michael  Burrows
Kill Order,Tate James
New from Here,Kelly Yang
The Night Country,Melissa Albert
The House of Kennedy,James Patterson
Lords of Pain,Angel Lawson
The Latinist,Mark Prins
Perhaps the Stars,Ada Palmer
Below Zero,Ali Hazelwood
Funny Farm: My Unexpected Life with 600 Rescue Animals,Laurie Zaleski
Dead Drop,Tate James
Under One Roof,Ali Hazelwood
When Stars Collide,Susan Elizabeth Phillips
Lost Hills,Lee Goldberg
The Children's Blizzard,Melanie Benjamin
Stuck with You,Ali Hazelwood
The Anomaly,Hervé Le Tellier
Furia,Yamile Saied Méndez
True Biz,Sara Nović
Spy×Family 3,Tatsuya Endo
Alone With You in the Ether,Olivie Blake
Under the Rainbow,Celia Laskey
A Private Cathedral,James Lee Burke
Sorrow and Bliss,Meg Mason
The Best of Me,David Sedaris
How the Penguins Saved Veronica,Hazel Prior
No Cure for Being Human: And Other Truths I Need to Hear,Kate Bowler
Dress Coded,Carrie Firestone
Rednecks,Taylor  Brown
Glow,Raven Kennedy
Golden Girl,Elin Hilderbrand
Uncanny Valley,Anna Wiener
The Queen of Paris: A Novel of Coco Chanel,Pamela Binnings Ewen
Pride of Eden,Taylor  Brown
A Dance with the Fae Prince,Elise Kova
Watercress,Andrea Wang
Layover,Emily Henry
Dust Child,Nguyễn Phan Quế Mai
Icebreaker,Hannah  Grace
The Drowning Kind,Jennifer  McMahon
Find Me in Havana,Serena  Burdick
I Hope This Finds You Well: Poems,Kate Baer
Trans: When Ideology Meets Reality,Helen  Joyce
Gild,Raven Kennedy
Defy the Night,Brigid Kemmerer
The Family Game,Catherine Steadman
"Lore Olympus, Vol. 1",Rachel  Smythe
King of Battle and Blood,Scarlett St.  Clair
A Sunlit Weapon,Jacqueline Winspear
Kings of Anarchy,Caroline Peckham
The Governess,Wendy  Holden
Seven Perfect Things,Catherine Ryan Hyde
A Treacherous Tale,Elizabeth Penney
Sisters of the Lost Nation,Nick Medina
Meet Me at the Lake,Carley Fortune
Officer Clemmons,François S. Clemmons
Book of Night,Holly Black
That Time I Got Drunk and Saved a Demon,Kimberly Lemming
Gold,Raven Kennedy
The It Girl,Ruth Ware
All In: An Autobiography,Billie Jean King
Smoke Bitten,Patricia Briggs
Did Ye Hear Mammy Died? A Memoir,Séamas O'Reilly
The Last Lifeboat,Hazel Gaynor
The Soulmate Equation,Christina Lauren
Star of Persia:,Jill Eileen Smith
"Undercover Epicenter Nurse: How Fraud, Negligence, and Greed Led to Unnecessary Deaths at Elmhurst Hospital",Erin Marie Olszewski
Chronicles from the Land of the Happiest People on Earth,Wole Soyinka
"Beyond That, the Sea",Laura Spence-Ash
Clash of Steel: A Treasure Island Remix,C.B. Lee
The Murder of Mr. Wickham,Claudia Gray
Cartier's Hope,M.J. Rose
All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler,Rebecca Donner
Broken Bonds,J.  Bree
The Daughter of Doctor Moreau,Silvia Moreno-Garcia
The Dirty South,John Connolly
From The Foster House To The White House,Terrence Williams
Paladin's Strength,T. Kingfisher
"Outside, Inside",LeUyen Pham
The Vaster Wilds,Lauren Groff
The Deep: We all know the story of the Titanic . . . don't we?,Alma Katsu
The Oldest Student: How Mary Walker Learned to Read,Rita Lorraine Hubbard
"Classified: The Secret Career of Mary Golda Ross, Cherokee Aerospace Engineer",Traci Sorell
The Many Daughters of Afong Moy,Jamie Ford
A Murderous Relation,Deanna Raybourn
A Most English Princess: A Novel of Queen Victoria's Daughter,Clare McHugh
Beautiful Country: A Memoir,Qian Julie Wang
Oh William!,Elizabeth Strout
After Annie,Anna Quindlen
Pucking Around,Emily Rath
Kings of Quarantine,Caroline Peckham
"Snotgirl, Vol. 3: Is This Real Life?",Bryan Lee O'Malley
Travelers Along the Way: A Robin Hood Remix,Aminah Mae Safi
The Nurse's Secret,Amanda Skenandore
"Invisible Child: Poverty, Survival & Hope in an American City",Andrea Elliott
So Many Beginnings: A Little Women Remix,Bethany C. Morrow
Figure It Out,Wayne Koestenbaum
The Lost Boys of London,Mary Lawrence
After The Storm,Natalie P.  Jenkins
Before I Called You Mine,Nicole Deese
You Exist Too Much,Zaina Arafat
The Glass Magician,Caroline Stevermer
Sunbathing I Want To,Nicholas Dolinger
The Renascent World,Carryn W. Kerr
The Duke of Diamonds,Emily Windsor
I Am Not Your Slave: A Memoir,Tupa Tjipombo
A Traveler at the Gates of Wisdom,John Boyne
Wraithblade,S.M. Boyce
The Living Dead,George A. Romero
Unseen City,Amy Shearn
The Salon of Exiled Artists in California,Núria Añó
The Book of Moods: How I Turned My Worst Emotions Into My Best Life,Lauren   Martin
The Ever Cruel Kingdom,Rin Chupeco
The Portrait of a Mirror,A. Natasha Joukovsky
Unlocked,Shannon Messenger
The Castle of Tangled Magic,Sophie   Anderson
A Necessary Blessing,Sarah Head
The Briarmen,Joseph A. Chadwick
The House of Dust,Noah Broyles
Before Familiar Woods,Ian Pisarcik
My Contrary Mary,Cynthia Hand
Bad Best Friend,Rachel Vail
Everything You Wanted,Nina Raman
Deianira Queen of Laires Rellik,Lorenzo James
The Duchess,Wendy  Holden
Chaos and Grime: A Year in the Life of a Chinese City,Jacob Acerbi
Flock,Kate  Stewart
Με λάθος σκιά,Φάνης Παπαγεωργίου
"Redeeming Justice: From Defendant to Defender, My Fight for Equity on Both Sides of a Broken System",Jarrett Adams
De Duistere Bank: De schokkende ontmaskering van Deutsche Bank,David Enrich
Innate Magic,Shannon Fay
Live Yet Another Day,Niveditha Praveen
The Unexpected Gate: Chapter 1-“The Journey Begins”,Saravanan Shanmugam
"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein
In Search of a Prince,Toni Shiloh
Pirate's Protector,Lisa Kessler
Moonflower Murders,Anthony Horowitz
Afterlift,Chip Zdarsky
The Nine Lives of Rose Napolitano,Donna Freitas
Sunset,Jessie Cave
The Alpha's Son,Penny Jessup
Stealing Infinity,Alyson Noel
Nothing But Blackened Teeth,Cassandra Khaw
The Family Roe: An American Story,Joshua Prager
The Goddess of Nothing At All,Cat Rector
MUTTS,Olivia Pritchard
Notes on a Silencing: A Memoir,Lacy Crawford
The Old Coal Miner's Lamp,Vicky Peplow
A Song Below Water,Bethany C. Morrow
Forty-Ninth,Boris Pronsky
Not in Search of Love,Kashish  Aggarwal
Existential Physics: A Scientist's Guide to Life's Biggest Questions,Sabine Hossenfelder
Under a Veiled Moon,Karen Odden
She Chose to Love,Yvette Dulo
The End of Men,Christina Sweeney-Baird
The Obsidian Tower,Melissa Caruso
"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath",Bill Browder
The Grey Wolf,Julie Mannino
The Backrooms,Morgan Solis
Of Fire and Ash,Gillian Bronte Adams
The Engagement Party,Finley  Turner
Small Angels,Lauren Owen
Watch Over Me,Nina LaCour
All-Night Pharmacy,Ruth Madievsky
There Are Wolves Here Too,Niall Howell
Rouge,Mona Awad
The Mechanics of Lust,Jay Hogan
Azriel,Julie Mannino
A Whisper of Solace,Milena McKay
All the Broken Places,John Boyne
Consent: A Memoir,Vanessa Springora
A Study in Drowning,Ava Reid
The Passenger,Cormac McCarthy
"On the Line: A Story of Class, Solidarity, and Two Women's Epic Fight to Build a Union",Daisy Pitkin
The Sunlit Man,Brandon Sanderson
Gwen & Art Are Not in Love,Lex Croucher
Storm of the Seven Sins,Emily Colin
Daughters of Sparta,Claire Heywood
The Water Walls,iLana Markarov
A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough
Super Host,Kate Russo
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",Gabor Maté
Nightwatching,Tracy  Sierra
The Brothers Hawthorne,Jennifer Lynn Barnes
Arlindo,IlustraLu
Red River Road,Anna Downes
The Hurting Kind: Poems,Ada Limon
The First Paper Cut: An Anniversary to Die For,Camille Cabrera
In the Shadow Garden,Liz    Parker
We Are All So Good at Smiling,Amber McBride
As Long as the Lemon Trees Grow,Zoulfa Katouh
The Reappearance of Rachel Price,Holly  Jackson
The Sunshine Court,Nora Sakavic
Great Circle,Maggie Shipstead
Body High,Jon Lindsey
Sword Catcher,Cassandra Clare
Tenement Kid,Bobby Gillespie
Calculated,Nova McBee
Woman of Sunlight,Mary Connealy
Hope in the Mail: Reflections on Writing and Life,Wendelin Van Draanen
The River Home,Hannah Richell
A Graceful Swan for the Fearless Marquess,Fanny Finch
Cat Kid Comic Club,Dav Pilkey
What Does It Mean to Be Chosen?: An Interactive Bible Study,Amanda Jenkins
Sorrow,Tiffanie DeBartolo
Exodus,Kate  Stewart
The Vanishing Deep,Astrid Scholte
The Dating Plan,Sara Desai
Heaven and Hell: A History of the Afterlife,Bart D. Ehrman
Προσκόμματα και ποιμαντικές λύσεις για την κατάβαση της αγέλης στον κάμπο σε περίπτωση αντάρας,Αλέξιος Μάινας
Revolusi: Indonesië en het ontstaan van de moderne wereld,David Van Reybrouck
"Amazing Spider-Man Epic Collection, Vol. 5: The Secret of the Petrified Tablet",Stan Lee
The Civil War on Film,Peg A. Lamphier
Mrs. Witherspoon Goes to War,Mary   Davis
The Breath Between Waves,Charlotte Anne Hamilton
Elsewhere,Dean Koontz
The Valkyrie's Daughter,Tiana Warner
What We Don't Talk About When We Talk About Fat,Aubrey Gordon
Pharaoh's Ticks,Kenneth J. Stein
Kundiman for Kin/Information Retrieval for Monsters,Ching-In Chen
Things I Have Withheld,Kei Miller
The Visit,Chimamanda Ngozi Adichie
The Holiday Swap,Maggie Knox
How Moon Fuentez Fell in Love with the Universe,Raquel Vasquez Gilliland
The Butcher and the Wren,Alaina Urquhart
Maggots Screaming!,Max Booth III
Best Canadian Poetry 2021,Souvankham Thammavongsa
The Quicksilver Court,Melissa Caruso
Biography of X,Catherine Lacey
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen
Dark Factory,Kathe Koja
Lor,Lily Mayne
Fall,West Camel
The Headmistress,Milena McKay
Cross Down,James Patterson
Love Redesigned,Lauren Asher
The Summer of Broken Rules,K.L. Walther
Have I Told You This Already?: Stories I Don’t Want to Forget to Remember,Lauren Graham
Beyond The Story: 10-Year Record of BTS,Myeongseok Kang
Sunbelt Blues: The Failure of American Housing,Andrew Ross
The Light in Hidden Place,Sharon Cameron
The Black Coast,Mike Brooks
Der Horror der frühen Chirurgie,Lindsey Fitzharris
The Forgotten Kingdom,Signe Pike
Herc,Phoenicia Rogerson
Aurora Burning,Amie Kaufman
Our Perfect Murder,Camille Cabrera
Me: Moth,Amber McBride
Before I Let Go,Kennedy Ryan
A Curse for True Love,Stephanie Garber
A Little Devil in America: Notes in Praise of Black Performance,Hanif Abdurraqib
Nur ein Wort mit sieben Buchstaben,Ava  Reed
In the Roses of Pieria,Anna  Burke
The Silver Swan: In Search of Doris Duke,Sallie Bingham
Blood Countess,Lana Popović
How the Lady Was Won,Shana Galen
Every Other Weekend,Abigail  Johnson
The Court of Mortals,A.J. Lancaster
How to Pronounce Knife: Stories,Souvankham Thammavongsa
Το κορίτσι με το ξύλινο φόρεμα,Βίκυ Φίλιππα
The Finish Line,Kate  Stewart
The Lincoln Conspiracy: The Secret Plot to Kill America's 16th President⁠—and Why It Failed,Brad Meltzer
Die Around Sundown,Mark Pryor
The Living Sea of Waking Dreams,Richard Flanagan
Mark Rutte,Petra de Koning
"Amazing Spider-Man Epic Collection, Vol. 25: Maximum Carnage",Terry Kavanagh
To Be Honest: A Memoir,Michael Leviton
Love's Fortress,Jennifer Uhlarik
Blessed Are the Chosen: An Interactive Bible Study,Amanda Jenkins
Of Trust & Heart,Charlotte Anne Hamilton
Every Missing Piece,Melanie Conklin
Polar Vortex,Shani Mootoo
Ace of Spades,Faridah Àbíké-Íyímídé
Kingdom of the Feared,Kerri Maniscalco
Termination Shock,Neal Stephenson
Love from Scratch,Kaitlyn Hill
Shadow Fallen,Sherrilyn Kenyon
The Scavenger Door,Suzanne Palmer
The Ivory Tomb,Melissa Caruso
Stranded,Sarah Goodwin
Cinema Speculation,Quentin Tarantino
A History of Touch  (First Poets Series),Erin Emily Ann Vance
The Pole,J.M. Coetzee
Exciting Times,Naoise Dolan
Reckless,Elsie Silver
Życie mimo wszystko. Rozmowy o samobójstwie,Halszka Witkowska
Monica,Daniel Clowes
Ringmaster: Vince McMahon and the Unmaking of America,Abraham Riesman
Stay Gold,Tobly McSmith
Kids Run the Show,Delphine de Vigan
Weihnachten im kleinen Inselhotel,Jenny Colgan
The Bookbinder of Jericho,Pip Williams
Becoming Wild: How Animals Learn Who They Are,Carl Safina
The Once and Future Sex: Going Medieval on Women's Roles in Society,Eleanor Janega
Die Bäume,Percival Everett
Vespertine,Margaret  Rogerson
Better than the Movies,Lynn Painter
Musical Tables: Poems,Billy Collins
To Break a Covenant,Alison Ames
Magdalene Nox,Milena McKay
Honeybee,Craig Silvey
With All My Heart,Samantha Young
Nottingham: The True Story of Robyn Hood,Anna  Burke
My Mother's House,Francesca Momplaisir
Like Flames in the Night,Connilyn Cossette
The Highlander's Excellent Adventure,Shana Galen
Black Buck,Mateo Askaripour
Αστικά δύστυχα,Δημήτρης Γκιούλος
Mother May I,Joshilyn Jackson
All the Little Hopes,Leah Weiss
Riviera Gold,Laurie R. King
Mijn meningen zijn feiten: de wording van Thierry Baudet,Harm Ede Botje
Unsporting: How Trans Activism and Science Denial are Destroying Sport,Linda Blade
A Curse of Roses,Diana Pinguicha
Last of the Talons,Sophie Kim
Lurking: How a Person Became a User,Joanne  McNeil
Journey to the Cross: A 40-Day Lenten Devotional,Paul David Tripp
"The Dragons, the Giant, the Women: A Memoir",Wayétu Moore
Love Me,Ashley N. Rostek
Quando accadrà dillo alle api,Diana Gabaldon
Hero of Two Worlds: The Marquis de Lafayette in the Age of Revolution,Mike     Duncan
The Happily Ever After: A Memoir of an Unlikely Romance Novelist,Avi Steinberg
The Philosophy of Modern Song,Bob Dylan
Dark Places,Sherrilyn Kenyon
The Girl Behind the Gates,Brenda Davies
The Tea Dragon Tapestry,Kay O'Neill
The Cloisters,Katy Hays
Me and Banksy,Tanya Lloyd Kyi
The Eighth Wonder of the World: The True Story of André the Giant,Bertrand Hébert
The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland
The Running Trees,Amber McMillan
Storia di due anime,Alex Landragin
Private Moscow,James Patterson
If Tomorrow Doesn't Come,Jen St. Jude
Wrony,Petra Dvořáková
"Goodbye, Eri",Tatsuki Fujimoto
Whispers in the Woods,K.C. Carmine
The Queen of Dirt Island,Donal Ryan
Going Infinite: The Rise and Fall of a New Tycoon,Michael   Lewis
Unruly: The Ridiculous History of England's Kings and Queens,David   Mitchell
The Good Wife of Bath,Karen  Brooks
"Of Time and Turtles: Mending the World, Shell by Shattered Shell",Sy Montgomery
Hotel Laguna,Nicola  Harrison
Die geheimste Erinnerung der Menschen,Mohamed Mbougar Sarr
Zhara,S. Jae-Jones
Daughter of the Deep,Rick Riordan
Nonbinary: A Memoir,Genesis P-Orridge
It Looks Like Us,Alison Ames
You're Not the Problem: The Impact of Narcissism and Emotional Abuse and How to Heal,Helen Villiers
People to Follow,Olivia Worley
First Lie Wins,Ashley Elston
Role Playing,Cathy Yardley
Thrust,Lidia Yuknavitch
Golden Heritage,Carolin Wahl
The Measure,Nikki Erlick
"Spirit Run: A 6,000-Mile Marathon Through North America's Stolen Land",Noé Álvarez
Imperfect Women,Araminta Hall
Wicked Liaison,Meara Platt
Lessons From the Least of These: The Woodson Principles,Robert L. Woodson Sr.
The Rakess,Scarlett Peckham
Ο Δον Υπαστυνόμος,Δημήτρης Καρακίτσος
Material Girls: Why Reality Matters for Feminism,Kathleen Stock
"High Risk: Stories of Pregnancy, Birth, and the Unexpected",Chavi Eve Karkowsky
The Captive Kingdom,Jennifer A. Nielsen
The Liar's Crown,Abigail Owen
The Love Song of Ivy K. Harlowe,Hannah Moskowitz
What Are You Going Through,Sigrid Nunez
Festival Days,Jo Ann Beard
The High House,Greengrass Jessie
The Girl and the Goddess: Stories and Poems of Divine Wisdom,Nikita Gill
How to Be Ace: A Memoir of Growing Up Asexual,Rebecca    Burgess
"The Diary Keepers: World War II in the Netherlands, as Written by the People Who Lived Through It",Nina Siegal
Omar Rising,Aisha Saeed
Map Reading: The Nobel Lecture and Other Writings,Abdulrazak Gurnah
Grasp: The Science Transforming How We Learn,Sanjay Sarma
A Fig for All the Devils,C.S. Fritz
First Person Singular: Stories,Haruki Murakami
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest
Jessi's Secret Language: A Graphic Novel,Ann M. Martin
The Empire's Ruin,Brian Staveley
Prequel: An American Fight Against Fascism,Rachel Maddow
Look Back,Tatsuki Fujimoto
The Care and Breeding of Princes,Arden Lake
Murtagh,Christopher Paolini
The Men,Sandra Newman
"Dash & Lily: Vorsicht, Glatteis!",Rachel Cohn
Deep State,Chris Hauty
Above Ground,Clint   Smith
"How I Survived a Chinese ""Reeducation"" Camp: A Uyghur Woman's Story",Gulbahar Haitiwaji
Daisy Haites,Jessa Hastings
"Tasting History: Explore the Past through 4,000 Years of Recipes",Max      Miller
Das Kaufhaus der Träume,Lee Mi-ye
Guard Your Heart,Sue Divin
La Société protectrice des Kaijus,John Scalzi
Stranger Than Kindness,Nick Cave
Betting on You,Lynn Painter
Boss of Her,Anna    Stone
The Last Bookshop in London,Madeline  Martin
Die Auserwählte,Emily Thiede
La última nota,Joana Marcús
The Butcher of the Forest,Premee Mohamed
We Wish You Luck,Caroline Zancan
The Kingdom of Back,Marie Lu
Sad Janet,Lucie Britsch
Με τις μέλισσες ή με τους λύκους: Αγόρευση στη δίκη της Χρυσής Αυγής,Θανάσης Καμπαγιάννης
Divided We Fall: America's Secession Threat and How to Restore Our Nation,David  French
The Year of the Witching,Alexis Henderson
A Sprinkle of Sorcery,Michelle Harrison
Den of Vipers,K.A. Knight
The Four Profound Weaves,R.B. Lemberg
Sexy But Psycho: How the Patriarchy Uses Women’s Trauma Against Them,Jessica   Taylor
Pirate's Paradox,Lisa Kessler
A World Without Email: Reimagining Work in an Age of Communication Overload,Cal Newport
Live Not by Lies: A Manual for Christian Dissidents,Rod Dreher
An Autobiography of the Autobiography of Reading (CLC Kreisel Lecture Series),Dionne Brand
Inseparable,Simone de Beauvoir
The Fall of Babel,Josiah Bancroft
The Devil and the Dark Water,Stuart Turton
Open Water,Caleb Azumah Nelson
